,First Name,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.FIRST_NAME,Data Revenue Weekly,DB & Live,Per Min,Available,,,,,,
,Last Name,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.LAST_NAME,Data_DOU_Monthly,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.DATA_DOU,,,,,
,Last Recharge Date,,Live,Per Min,Available,OCS_VOU.TRADETIME,End of Day Balance,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.EOD_BALANCE,LIVE,Live CDRs,,,
,Last Recharge Value,,Live,Per Min,Available,OCS_VOU.CARDVALUEADDED/1000000,IDD OG MOU New,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""IDD OG MOU""
 FROM OCS_REC WHERE ((CALLEDHOMENETWORKCODE = 101 AND CALLTYPE != 0) OR CALLEDHOMENETWORKCODE = -1) AND SERVICEFLOW != 2 AND ROAMSTATE != 3",DB,Data Base at D-1,,,
,Phone Brand,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.PHONE_BRAND,IDD OG Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""IDD OG REV""
 FROM OCS_REC WHERE ((CALLEDHOMENETWORKCODE = 101 AND CALLTYPE != 0) OR CALLEDHOMENETWORKCODE = -1) AND SERVICEFLOW != 2 AND ROAMSTATE != 3",,,,,
,preferred Language,,DB,D-1,Available,,Offnet OG MOU New,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""OFFNET OG MOU""
 FROM OCS_REC WHERE CALLEDHOMENETWORKCODE IN (102, 103, 104, 105, 106, 107, 108) AND CALLTYPE = 0 AND SERVICEFLOW != 2",,,,,
,Province,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.PROVINCE,Offnet OG Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""OFFNET OG REV""
 FROM OCS_REC WHERE CALLEDHOMENETWORKCODE IN (102, 103, 104, 105, 106, 107, 108) AND CALLTYPE = 0 AND SERVICEFLOW != 2",,,,,
,RGS status,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.RGS_STATUS,Onnet OG Mou New,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""ONNET OG MOU""
 FROM OCS_REC WHERE calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2",,,,,
,Service_Class,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SERVICE_CLASS,Onnet OG Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""ONNET OG REV""
 FROM OCS_REC WHERE calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2",,,,,
,SIM Support,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SIM_SUPPORT,Payg OnNet OG MOU,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""ONNET OG MOU""
 FROM OCS_REC WHERE calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2 AND CHARGEFROMPREPAID > 0",,,,,
,SIM Type (4G USIM /3G SIM/Normal),,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SIM_TYPE,Recharge DOU,Live,Per Min,Available,OCS_VOU WHERE CARDVALUEADDED > 0,,,,,
,Smartphone,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SMARTPHONE,Refill Amount,Live,Per Min,Available,OCS_VOU.CARDVALUEADDED/1000000,,,,,
,Subscriber Status,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SUBSCRIBER_STATUS,Refill Count,Live,Per Min,Available,SELECT COUNT(*) FROM OCS_VOU WHERE CARDVALUEADDED > 0,,,,,
,TAC,,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.TAC,Total Data Bundled Revenue,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.DATA_BUNDLE_REVENUE,,,,,
,Churn Propensity Score,,,,Available,,Total Data Bundled Usage New,Live,Per Min,Available,SLECT SUM(CHARGEOFFLUXACCOUNTS)/1024/1024 FROM OCS_DATA WHERE TOTALFLUX > 0 AND CHARGEOFFLUXACCOUNTS > 0,,,,,
,Churn Propensity Score December,,,,Available,,Total Data PAYGO Revenue,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 AS ""Data PayGO Revenue"" from OCS_DATA",,,,,
,Churn_Score_Old,,,,Available,,Total Data Revenue New,DB & Live,Per Min,Available,Total Data PAYGO Revenue+Total Data Bundle Revenue,,,,,
,Ayoba_SignUp,,,,Not Available,,Total Data Usage New,Live,Per Min,Available,SLECT SUM(TOTALFLUX)/1024/1024 FROM OCS_DATA WHERE TOTALFLUX > 0,,,,,
,Ayoba_User Engadgement,,,,Not Available,,Total DOU,Live,Per Min,Available,,,,,,
,Customer Winback Score,,,,Not Available,,Total IC MOU,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.TOTAL_IC_MOU,,,,,
,MyMTNApp Registration,,,,Not Available,,Total OG MOU New,Live,Per Min,Available,SLECT SUM(CALLDURATION)/60 FROM OCS_REC WHERE CALLDURATION > 0,,,,,
,,,,,,,Total OnNet OG MOU,Live,Per Min,Available,SLECT SUM(CALLDURATION)/60 FROM OCS_REC WHERE CALLDURATION > 0,,,,,
,,,,,,,Total On-net Revenue,DB & Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 AS ""Data PayGO Revenue"" from OCS_REC",,,,,
,,,,,,,Total PAYGO Data Usage New,Live,Per Min,Available,SLECT SUM(TOTALFLUX)/1024/1024 FROM OCS_DATA WHERE TOTALFLUX > 0 AND CHARGEFROMPREPAID > 0,,,,,
,,,,,,,Total Revenue Updated,DB & Live,Per Min,Available,,,,,,
,,,,,,,Total Roaming Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""Total Roaming Rev New""
 FROM OCS_REC WHERE ((CALLEDHOMENETWORKCODE = 101 AND CALLTYPE != 0) OR CALLEDHOMENETWORKCODE = -1) AND SERVICEFLOW != 2 AND ROAMSTATE = 3",,,,,
,,,,,,,Total Roaming Usage New,Live,Per Min,Available,"SELECT SUM(CALLDURATION) ""Total Roaming Usage""
 FROM OCS_REC WHERE ((CALLEDHOMENETWORKCODE = 101 AND CALLTYPE != 0) OR CALLEDHOMENETWORKCODE = -1) AND SERVICEFLOW != 2 AND ROAMSTATE = 3",,,,,
,,,,,,,Total SMS Bundled Revenue,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.SMS_BUNDLE_REVENUE,,,,,
,,,,,,,Total SMS Count,Live,Per Min,Available,"SELECT COUNT(*) AS ""Total SMS Count"" FROM OCS_SMS WHERE SENDRESULT = 0",,,,,
,,,,,,,Total SMS PAYG Rev New,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""Total SMS PAYG Rev"" FROM OCS_SMS WHERE SENDRESULT = 0",,,,,
,,,,,,,Total SMS Revenue New,DB & Live,Per Min,Available,Total SMS PAYG Rev New+Total SMS Bundled Revenue,,,,,
,,,,,,,Total VAS Revenue,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.VAS_REVENUE,,,,,
,,,,,,,Total Voice Bundle Revenue,DB,D-1,Available,BIB_ADM.FLYTXT_DX_DAILY_KPI.VOICE_BUNDLE_REVENUE,,,,,
,,,,,,,Total Voice PAYGO Rev,Live,Per Min,Available,"SELECT SUM (CHARGEFROMPREPAID) / 1000000 ""Total Voice PAYGO Rev"" FROM OCS_REC WHERE calledhomenetworkcode = 101 and calltype = 0 and serviceflow != 2 AND CHARGEFROMPREPAID > 0",,,,,
,,,,,,,Total Voice Revenue,DB & Live,Per Min,Available,Total Voice PAYGO Rev+Total Voice Bundle Revenue,,,,,
,,,,,,,Total_DOU_Monthly,DB,Monthly,Available,,,,,,
,,,,,,,Voice_DOU_Monthly,DB,Monthly,Available,,,,,,
,,,,,,,Total SMS Bundled Revenue,DB & Live,Per Min,Available,"SELECT SUM(DEDUCTFROMPREPAID / 1000000) AS ""Total SMS Bundled Revenue""
  FROM OCS_MON A LEFT OUTER JOIN BIB_ADM.OCS_ACCOUNTTYPES_LOOKUP B ON A.ACCOUNTTYPE1 = B.ACCOUNTTYPE
  WHERE DEDUCTFROMPREPAID > 0
  AND UPPER(MEASURE_NAME) = 'ITEMS';",,,,,
,,,,,,,Total Voice Bundle Revenue,DB & Live,Per Min,Available,"SELECT ((TRANSITIONFEE) / 1000000) ""Total Voice Bundle Revenue"" FROM OCS_MGR WHERE (TRANSITIONFEE != 0) AND REQUESTACTION = 0 AND NEWPRODUCTID != 0",,,,,
,,,,,,,Total Data Bundle Revenue,DB & Live,Per Min,Available,"SELECT SUM(DEDUCTFROMPREPAID / 1000000) AS ""Total DATA Bundled Revenue""
  FROM OCS_MON A LEFT OUTER JOIN BIB_ADM.OCS_ACCOUNTTYPES_LOOKUP B ON A.ACCOUNTTYPE1 = B.ACCOUNTTYPE
  WHERE DEDUCTFROMPREPAID > 0
  AND UPPER(MEASURE_NAME) != 'ITEMS';",,,,,
